,Player,GameWeek,Home,MatchID
0,Sokratis,4,Home,46635
1,Ainsley Maitland-Niles,4,Home,46635
2,David Luiz,4,Home,46635
3,Matteo Guendouzi,4,Home,46635
4,Alexandre Lacazette,4,Home,46635
5,Pierre-Emerick Aubameyang,4,Home,46635
6,Nicolas Pepe,4,Home,46635
7,Danny Rose,4,Home,46642
8,Toby Alderweireld,4,Away,46635
9,Davinson Sanchez,4,Away,46635
10,Harry Winks,4,Away,46635
11,Erik Lamela,4,Away,46635
12,Moussa Sissoko,4,Away,46635
13,Christian Eriksen,4,Away,46635
14,Harry Kane,4,Away,46635
15,Matthew Lowton,4,Home,46636
16,James Tarkowski,4,Home,46636
17,Ben Mee,4,Home,46636
18,Erik Pieters,4,Home,46636
19,Jack Cork,4,Home,46636
20,Dwight McNeil,4,Home,46636
21,Ashley Westwood,4,Home,46636
22,Chris Wood,4,Home,46636
23,Ashley Barnes,4,Home,46636
24,Virgil van Dijk,4,Away,46636
25,Andrew Robertson,4,Away,46636
26,Joel Matip,4,Away,46636
27,Trent Alexander-Arnold,4,Away,46636
28,Georginio Wijnaldum,4,Away,46636
29,Roberto Firmino,4,Away,46636
30,Sadio Mane,4,Away,46636
31,Mohamed Salah,4,Away,46636
32,Kurt Zouma,4,Home,46637
33,Cesar Azpilicueta,4,Home,46637
34,Emerson,4,Home,46637
35,Jorginho,4,Home,46637
36,Christian Pulisic,4,Home,46637
37,Mason Mount,4,Home,46637
38,Jack O'Connell,4,Away,46637
39,Chris Basham,4,Away,46637
40,John Egan,4,Away,46637
41,George Baldock,4,Away,46637
42,Enda Stevens,4,Away,46637
43,John Lundstram,4,Away,46637
44,Oliver Norwood,4,Away,46637
45,Callum Robinson,4,Away,46637
46,Joel Ward,4,Home,46638
47,Patrick van Aanholt,4,Home,46638
48,Martin Kelly,4,Home,46638
49,Luka Milivojevic,4,Home,46638
50,James McArthur,4,Home,46638
51,Jordan Ayew,4,Home,46638
52,Neil Taylor,4,Away,46638
53,Bjorn Engels,4,Away,46638
54,Tyrone Mings,4,Away,46638
55,John McGinn,4,Away,46638
56,Jack Grealish,4,Away,46638
57,Wesley,4,Away,46638
58,Trezeguet,4,Away,46638
59,Jota,4,Away,46638
60,Michael Keane,4,Home,46639
61,Lucas Digne,4,Home,46639
62,Yerry Mina,4,Home,46639
63,Seamus Coleman,4,Home,46639
64,Richarlison,4,Home,46639
65,Gylfi Sigurdsson,4,Home,46639
66,Andre Gomes,4,Home,46639
67,Ryan Bennett,4,Home,46640
68,Willy Boly,4,Away,46639
69,Conor Coady,4,Away,46639
70,Ruben Neves,4,Away,46639
71,Leander Dendoncker,4,Away,46639
72,Raul Jimenez,4,Away,46639
73,Joao Moutinho,4,Away,46639
74,Ben Chilwell,4,Home,46640
75,Caglar Soyuncu,4,Home,46640
76,Jonny Evans,4,Home,46640
77,Ricardo Pereira,4,Home,46640
78,Youri Tielemans,4,Home,46640
79,James Maddison,4,Home,46640
80,Harvey Barnes,4,Home,46640
81,Wilfred Ndidi,4,Home,46640
82,Jamie Vardy,4,Home,46640
83,Steve Cook,4,Away,46640
84,Nathan Ake,4,Away,46640
85,Adam Smith,4,Away,46640
86,Jefferson Lerma,4,Away,46640
87,Harry Wilson,4,Away,46640
88,Ryan Fraser,4,Away,46640
89,Philip Billing,4,Away,46640
90,Joshua King,4,Away,46640
91,Callum Wilson,4,Away,46640
92,Kyle Walker,4,Home,46641
93,Oleksandr Zinchenko,4,Home,46641
94,Aymeric Laporte,4,Home,46641
95,Nicolas Otamendi,4,Home,46641
96,Rodrigo,4,Home,46641
97,Kevin De Bruyne,4,Home,46641
98,Raheem Sterling,4,Home,46641
99,Sergio Aguero,4,Home,46641
100,Lewis Dunk,4,Away,46641
101,Dan Burn,4,Away,46641
102,Dale Stephens,4,Away,46641
103,Martin Montoya,4,Away,46641
104,Davy Propper,4,Away,46641
105,Solly March,4,Away,46641
106,Paul Dummett,4,Home,46642
107,Fabian Schar,4,Home,46642
108,Jamaal Lascelles,4,Home,46642
109,Jetro Willems,4,Home,46642
110,Isaac Hayden,4,Home,46642
111,Miguel Almiron,4,Home,46642
112,Sean Longstaff,4,Home,46642
113,Joelinton,4,Home,46642
114,Craig Dawson,4,Away,46642
115,Craig Cathcart,4,Away,46642
116,Abdoulaye Doucoure,4,Away,46642
117,Kiko Femenia,4,Away,46642
